,track_id,track_name,artist,track_length,track_popularity,track_added,album_id,album_name,total_album_tracks,track_url,album_url,album_release_year
430,2tOOcDDYkh0PSjr6GwPEAJ,Love Me Less (feat. Quinn XCII),"MAX, Quinn XCII",2.96115,65,2023-06-19 13:19:04+00:00,0BHgyJ3dblyBOmxV8pRmGg,Love Me Less (feat. Quinn XCII),1,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ,https://open.spotify.com/album/0BHgyJ3dblyBOmxV8pRmGg,2019
431,6vR8rIHV4GD6vrDRozMY9a,Rookie,Leebrian,1.7532,43,2023-06-19 13:19:04+00:00,784QfPILoZGDQbSCzDS48t,Rookie,1,https://open.spotify.com/track/6vR8rIHV4GD6vrDRozMY9a,https://open.spotify.com/album/784QfPILoZGDQbSCzDS48t,2018
432,19Fcrc0nJiwMKom00gS9SW,Good Form,Nicki Minaj,3.3233333333333333,67,2023-06-19 13:19:04+00:00,2acDkDTWdNFie1HjcFa4Ny,Queen,19,https://open.spotify.com/track/19Fcrc0nJiwMKom00gS9SW,https://open.spotify.com/album/2acDkDTWdNFie1HjcFa4Ny,2018
433,63kJcTnJu3qis6h5MX2nnB,Comic Sans (feat. Jack Harlow),"AUDREY NUNA, Jack Harlow",2.54225,43,2023-06-19 13:19:04+00:00,13OQY67VZehN0ekL3WUzfn,Comic Sans (feat. Jack Harlow),1,https://open.spotify.com/track/63kJcTnJu3qis6h5MX2nnB,https://open.spotify.com/album/13OQY67VZehN0ekL3WUzfn,2019
434,2eJAj4Jw8XfVz2Ywy7hyj3,Remember,KATIE,3.1008666666666667,47,2023-06-19 13:19:04+00:00,7lNHpLeY44QipZ73VToWmO,Remember,1,https://open.spotify.com/track/2eJAj4Jw8XfVz2Ywy7hyj3,https://open.spotify.com/album/7lNHpLeY44QipZ73VToWmO,2018
435,43bYs8QkPdCdy5esfnmU1T,Comme Des Garçons (Like The Boys),Rina Sawayama,3.0251,62,2023-06-19 13:19:04+00:00,3stadz88XVpHcXnVYMHc4J,SAWAYAMA,13,https://open.spotify.com/track/43bYs8QkPdCdy5esfnmU1T,https://open.spotify.com/album/3stadz88XVpHcXnVYMHc4J,2020
436,4FMsnzJirE6Y8SMscJjsX0,Apollo,Last Dinosaurs,3.4248833333333333,52,2023-06-19 13:19:04+00:00,6QCN8OExJmlD6DdMrJEjhR,Wellness,10,https://open.spotify.com/track/4FMsnzJirE6Y8SMscJjsX0,https://open.spotify.com/album/6QCN8OExJmlD6DdMrJEjhR,2015
437,7hzlzoOwCZ4D3Ow5YZK4kj,Insomnia,Daya,2.99575,65,2023-06-19 13:19:04+00:00,673e3sPgdJWrPAIBvaKysa,Insomnia,1,https://open.spotify.com/track/7hzlzoOwCZ4D3Ow5YZK4kj,https://open.spotify.com/album/673e3sPgdJWrPAIBvaKysa,2019
438,6Dma0t0hOe6Bd6u5YRKF3n,"No New Friends (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD",2.9304333333333332,62,2023-06-19 13:19:04+00:00,0ujHQ5WCLuKJQXOqXpGtpf,"LABRINTH, SIA & DIPLO PRESENT... LSD",10,https://open.spotify.com/track/6Dma0t0hOe6Bd6u5YRKF3n,https://open.spotify.com/album/0ujHQ5WCLuKJQXOqXpGtpf,2019
439,5JEx7HbmvHQQswJCsoo9rA,Close To Me (with Diplo) (feat. Swae Lee),"Ellie Goulding, Diplo, Swae Lee",3.0437166666666666,66,2023-06-19 13:19:04+00:00,4bLCVUEB9YWKEeaJm8FfqQ,Close To Me (feat. Swae Lee),1,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,https://open.spotify.com/album/4bLCVUEB9YWKEeaJm8FfqQ,2018
